PNCounter Multiple Increment 800 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 800 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 800 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 800 Avg Memory Usage: Physical: 2.91 bytes, Virtual: 2.91 bytes
List Multiple Insert 800 Avg Memory Usage: Physical: 15.18 bytes, Virtual: 38.46 bytes
GList Multiple Insert 800 Avg Memory Usage: Physical: 0.35 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 850 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 850 Avg Memory Usage: Physical: 7.37 bytes, Virtual: 8.60 bytes
GCounter Multiple Increment 850 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 850 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 850 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 850 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 850 Avg Memory Usage: Physical: 2.02 bytes, Virtual: 0.45 bytes
List Multiple Insert 850 Avg Memory Usage: Physical: 20.76 bytes, Virtual: 21.79 bytes
GList Multiple Insert 850 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 900 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 900 Avg Memory Usage: Physical: 1.12 bytes, Virtual: 0.67 bytes
GCounter Multiple Increment 900 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 900 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 900 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 900 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
